,target,age,flight_distance,departure_delay_in_minutes,arrival_delay_in_minutes,total_delay,mean_service_score,seat_comfort,online_support,online_boarding
target,1.0,0.11797141054378008,-0.039224331279813805,-0.08095893861054142,-0.0891677596080262,-0.08626818230223679,0.5060387856588818,0.24238443197098683,0.3901434030070571,0.3381468750321115
age,0.11797141054378008,1.0,-0.24962502628246733,-0.007738787300768596,-0.009959147435493521,-0.008978434012334493,0.0831783187207781,0.00878423556681091,0.12120087423321663,0.03797291480299968
flight_distance,-0.039224331279813805,-0.24962502628246733,1.0,0.10830652133698772,0.10545650558439999,0.10835558585909949,-0.02017681428996056,-0.04240875945371927,-0.03202248370454677,0.009603524945971354
departure_delay_in_minutes,-0.08095893861054142,-0.007738787300768596,0.10830652133698772,1.0,0.945642705793539,0.9861522679226741,-0.04604017999346787,-0.025855907193980184,-0.035966265542360515,-0.02230808213842229
arrival_delay_in_minutes,-0.0891677596080262,-0.009959147435493521,0.10545650558439999,0.945642705793539,1.0,0.9864808825450351,-0.05224281401702344,-0.027969414662037027,-0.038883377151236256,-0.02500607512512161
total_delay,-0.08626818230223679,-0.008978434012334493,0.10835558585909949,0.9861522679226741,0.9864808825450351,1.0,-0.04984194907905351,-0.027292388683250183,-0.037952805510397904,-0.023993410871771825
mean_service_score,0.5060387856588818,0.0831783187207781,-0.02017681428996056,-0.04604017999346787,-0.05224281401702344,-0.04984194907905351,1.0,0.5957811184346998,0.5726623017709686,0.5715673038634326
seat_comfort,0.24238443197098683,0.00878423556681091,-0.04240875945371927,-0.025855907193980184,-0.027969414662037027,-0.027292388683250183,0.5957811184346998,1.0,0.12027826578174691,0.13039648409006296
online_support,0.3901434030070571,0.12120087423321663,-0.03202248370454677,-0.035966265542360515,-0.038883377151236256,-0.037952805510397904,0.5726623017709686,0.12027826578174691,1.0,0.6698428536103169
online_boarding,0.3381468750321115,0.03797291480299968,0.009603524945971354,-0.02230808213842229,-0.02500607512512161,-0.023993410871771825,0.5715673038634326,0.13039648409006296,0.6698428536103169,1.0
