feature,importance
inflight_entertainment,0.47140507212084265
seat_comfort,0.219818519455446
ease_of_online_booking,0.07030035215524282
class_Business,0.024164136320682362
departure_arrival_time_convenient,0.021650097949043733
checkin_service,0.019253635094547028
online_support,0.019245975226818337
on_board_service,0.018713186709500267
leg_room_service,0.01677556430028724
customer_type_disloyal Customer,0.015556966581595735
flight_distance,0.012533484086673648
gate_location,0.010705346943288221
online_boarding,0.010011890934384727
cleanliness,0.009650917802341159
baggage_handling,0.009396498619167278
customer_type_Loyal Customer,0.00920866585165472
type_of_travel_Business travel,0.008622570465518143
type_of_travel_Personal Travel,0.008154762141189615
food_and_drink,0.006311958896514568
inflight_wifi_service,0.005882193071690636
age,0.005399680662416355
arrival_delay_in_minutes,0.0036810333581153536
mean_service_score,0.0024678581563203138
total_delay,0.0007597266668862221
departure_delay_in_minutes,0.0002080903836135807
class_Eco Plus,6.0345943697365775e-05
class_Eco,5.697521522447489e-05
has_delay,4.444819864498516e-06
is_long_flight,5.0067432914610625e-08
