column,dtype
satisfaction,str
customer_type,str
age,int64
type_of_travel,str
class,str
flight_distance,int64
seat_comfort,int64
departure_arrival_time_convenient,int64
food_and_drink,int64
gate_location,int64
inflight_wifi_service,int64
inflight_entertainment,int64
online_support,int64
ease_of_online_booking,int64
on_board_service,int64
leg_room_service,int64
baggage_handling,int64
checkin_service,int64
cleanliness,int64
online_boarding,int64
departure_delay_in_minutes,int64
arrival_delay_in_minutes,float64
